연번,소재지(시도),시군구,문화재명,방재시설(소방방범),방재시설업체명,담당자,업체연락처,관할소방서기관명,거리(KM),소방차도착시간(min),소방기관연락처
229,전남,구례,구례 화엄사 대웅전,소방,세기방재㈜,정찬명,061-783-7600,순천소방서(구례119안전센터),7.5,11,061-750-0946
230,전남,구례,구례 천은사 극락보전,소방,세기방재㈜,정찬명,061-780-4800,순천소방서(구례119안전센터),10.4,14,061-750-0946
231,전남,구례,구례 천은사 일주문,소방,세기방재㈜,정찬명,061-780-4800,순천소방서(구례119안전센터),10.4,14,061-750-0946
232,전남,구례,구례 석주관 칠의사묘,소방,세기방재㈜,정찬명,,순천소방서(구례119안전센터),11,13,061-750-0946
233,전남,구례,구례 화엄사,소방,세기방재㈜,정찬명,061-783-7600,순천소방서(구례119안전센터),7.5,11,061-750-0946
234,전남,구례,구례 운조루 고택,소방,세기방재㈜,정찬명,,순천소방서(구례119안전센터),5.5,7,061-750-0946
235,전남,나주,나주향교 대성전,소방,㈜대진이앤씨,정두호,061-332-2369,나주소방서,1.7,7,061-330-0900
236,전남,나주,나주 불회사 대웅전,소방,㈜전남소방,장준호,061-337-3440,남평119센터,19,15,061-330-0931
237,전남,나주,나주 금성관,소방,㈜대진이앤씨,정두호,061-339-8613,나주소방서,1.5,5,061-330-0900
238,전남,나주,나주읍성,소방,㈜전남소방,장준호,061-339-8613,나주소방서,1.7,7,061-330-0900
239,전남,나주,나주목 관아와 향교,소방,㈜대진이앤씨,정두호,061-339-8613,나주소방서,1.7,7,061-330-0900
240,전남,나주,나주 계은고택,소방,㈜전남소방,장준호,,남평119센터,19,15,061-330-0931
241,전남,나주,나주 우남고택,소방,㈜전남소방,장준호,,남평119센터,19,15,061-330-0931
242,전남,나주,나주 남파고택,소방,㈜대진이앤씨,정두호,,나주소방서,1.7,7,061-330-0900
243,전남,담양,담양 창평향교 대성전,,,,,담양소방서 고서119안전센터,2.5,5,061-380-0935
244,전남,담양,담양 창평향교 명륜당,,,,,담양소방서 고서119안전센터,2.5,5,061-380-0935
245,전남,담양,담양 금성산성,,,,,담양소방서 담양안전센터,12,15,061-380-0891
246,전남,무안,무안 유교리 고택,,,,061-244-1226,일로 119안전센터,10,10,061-450-0926
247,전남,보성,보성 율어리 고택,소방,나래이엔씨,송현달,,보성소방서119안전센터,16.8,13,061-859-0822
248,전남,보성,보성 이정래 고택,소방,나래이엔씨,송현달,,보성소방서119안전센터,11.7,10,061-859-0822
249,전남,보성,보성 이승래 고택,소방,나래이엔씨,송현달,,보성소방서119안전센터,6.6,5,061-859-0822
250,전남,보성,보성 이진래 고택,소방,나래이엔씨,송현달,,보성소방서119안전센터,11,10,061-859-0822
251,전남,보성,보성 이준회 고택,소방,나래이엔씨,송현달,,보성소방서119안전센터,11,10,061-859-0822
252,전남,보성,보성 열화정,소방,나래이엔씨,송현달,,보성소방서119안전센터,11,10,061-859-0822
253,전남,보성,보성 이용우 고택,소방,나래이엔씨,송현달,,보성소방서119안전센터,6.6,5,061-859-0822
254,전남,순천,순천 송광사 국사전,소방,㈜한국소방안전,권명수,061-755-0107,순천소방서(주암119지역대),15,20,061-750-0973
255,전남,순천,순천 송광사 하사당,소방,㈜한국소방안전,권명수,061-755-0107,순천소방서(주암119지역대),15,20,061-750-0973
256,전남,순천,순천 송광사 약사전,소방,㈜한국소방안전,권명수,061-755-0107,순천소방서(주암119지역대),15,20,061-750-0973
257,전남,순천,순천 송광사 영산전,소방,㈜한국소방안전,권명수,061-755-0107,순천소방서(주암119지역대),15,20,061-750-0973
258,전남,순천,순천 정혜사 대웅전,소방,㈜한국소방안전,권명수,061-755-8484,순천소방서,15,25,061-750-0900
259,전남,순천,순천 선암사 대웅전,소방,㈜삼성소방공사,최형곤,061-754-5247,순천소방서(승주119지역대),8,13,061-750-0936
260,전남,순천,순천향교 대성전,,,,061-753-3479,순천소방서(저전119안전센터),1,3,061-750-0926
261,전남,순천,순천 낙안읍성,소방,㈜삼성소방공사,장수환,061-749-8831,순천소방서(낙안119지역대),0.5,1,061-754-6600
262,전남,순천,순천 송광사,소방,㈜한국소방안전,권명수,061-755-0107,순천소방서(주암119지역대),15,20,061-750-0973
263,전남,순천,순천 선암사,소방,㈜삼성소방공사,최형곤,061-754-5247,순천소방서(승주119지역대),8,13,061-750-0936
264,전남,순천,순천 선암사 일주문,소방,㈜삼성소방공사,최형곤,061-754-5247,순천소방서(승주119지역대),8,13,061-750-0936
265,전남,순천,순천 낙안읍성 이방댁,소방,㈜삼성소방공사,최형곤,,순천소방서(낙안119지역대),0.5,1,061-754-6600
266,전남,순천,순천 낙안읍성 들마루집,소방,㈜삼성소방공사,최형곤,061-754-6717,순천소방서(낙안119지역대),0.5,1,061-754-6600
267,전남,순천,순천 낙안읍성 뙤창집,소방,㈜삼성소방공사,최형곤,,순천소방서(낙안119지역대),0.5,1,061-754-6600
268,전남,순천,순천 낙안읍성 마루방집,소방,㈜삼성소방공사,최형곤,,순천소방서(낙안119지역대),0.5,1,061-754-6600
269,전남,순천,순천 낙안읍성 대나무 서까래집,소방,㈜삼성소방공사,최형곤,,순천소방서(낙안119지역대),0.5,1,061-754-6600
270,전남,순천,순천 낙안읍성 ㄱ자집,소방,㈜삼성소방공사,최형곤,061-749-8831,순천소방서(낙안119지역대),0.5,1,061-754-6600
271,전남,순천,순천 낙안읍성 주막집,소방,㈜삼성소방공사,최형곤,061-749-8831,순천소방서(낙안119지역대),0.5,1,061-754-6600
272,전남,순천,순천 낙안읍성 서문성벽집,소방,㈜삼성소방공사,최형곤,,순천소방서(낙안119지역대),0.5,1,061-754-6600
273,전남,순천,순천 낙안읍성 향리댁,소방,㈜삼성소방공사,최형곤,,순천소방서(낙안119지역대),0.5,1,061-754-6600
274,전남,신안,신안 김환기 고택,소방,(주)유일테크,김대희,061-240-8641,신안소방서(안좌지역대),0.7,3,061-241-0974
275,전남,여수,여수 진남관,소방,(유)대일소방이엔지,김국렬,061-659-2120,연등119안전센터,2.6,7,061-680-0927
276,전남,여수,여수 흥국사 대웅전,소방,(유)대일소방이엔지,김국렬,061-685-5633,평여119안전센터,4.2,6,061-680-0942
277,전남,여수,여수 충민사,소방,(유)대일소방이엔지,김국렬,061-659-2120,여수소방서 소방정대,1.5,5,061-680-0932
278,전남,여수,여수 선소유적,소방,(유)대일소방이엔지,김국렬,061-659-2120,여수소방서 학동안전센터,1,3,061-680-0892
279,전남,여수,여수 금오산 향일암 일원,,,,,,,,
280,전남,영광,영광 불갑사 대웅전,소방,대진이앤씨㈜,정두호,061-352-8097,영광소방서,10.4,16,061-350-0900
281,전남,영광,영광 매간당 고택,소방,대진이앤씨㈜,정두호,,영광소방서,6.9,10,061-350-0900
282,전남,영암,영암 도갑사 해탈문,소방,대진이앤씨,정두호,061-473-5122,군서지역대,3,3,061-460-0976
283,전남,영암,영암 영보정,,,,,영암119안전센터,8.5,6,061-490-0927
284,전남,영암,영암 삼성당 고택,소방,대진이앤씨,정두호,,영암119안전센터,7.7,5,061-490-0927
285,전남,완도,완도 묘당도 이충무공 유적,소방,㈜제일소방이엔지,문석우,,완도소방서 고금119안전센터,3.7,5,061-470-0926
286,전남,완도,완도 청해진 유적,소방,자체,우용석,061-550-5003,완도소방서,3.8,6,061-470-0891
287,전남,장성,장성 필암서원,소방,㈜한국소방119,장정민,,장성소방서,6,9,061-360-0900
288,전남,장흥,장흥 존재고택,소방,㈜덕양,이경석,,장흥소방서,23,25,061-850-0900
289,전남,장흥,장흥 신와고택,소방,㈜덕양,이경석,,장흥소방서,23,25,061-850-0900
290,전남,장흥,장흥 오헌고택,소방,㈜덕양,이경석,,장흥소방서,23,25,061-850-0900
291,전남,해남,해남 미황사 대웅전,소방,㈜제일소방이엔지,문석우,061-533-3521,해남소방서(송지119안전센터),7,15,061-530-0941
292,전남,해남,해남 미황사 응진당,소방,㈜제일소방이엔지,문석우,061-533-3521,해남소방서(송지119안전센터),7,15,061-530-0941
293,전남,해남,해남 대흥사 천불전,소방,㈜제일소방이엔지,문석우,061-534-5502,해남소방서(삼산119지역대),4.5,10,061-530-0970
294,전남,해남,해남윤씨 녹우당 일원,소방,㈜제일소방이엔지,문석우,,해남소방서,4.3,5,061-530-0900
295,전남,해남,해남 대흥사,소방,㈜제일소방이엔지,문석우,061-534-5502,해남소방서(삼산119지역대),4.5,10,061-530-0970
296,전남,해남,해남 윤철하 고택,소방,㈜제일소방이엔지,문석우,,해남소방서(삼산119지역대),21.6,23,061-530-0900
297,전남,해남,해남 공재고택,소방,㈜제일소방이엔지,문석우,,해남소방서,29.4,36,061-530-0900
298,전남,화순,화순 운주사지,"소방,전기",㈜태운전력산업,양동선,061-374-0548,화순소방서(도암119지역대),4.6,10,061-379-0980
299,전남,화순,화순 쌍산 항일의병 유적,"소방,전기",㈜태운전력산업,양동선,061-379-3179,화순소방서(호남119특수구조대),10,17,061-370-6700
300,전남,화순,화순 양참사댁,"소방,전기",㈜태운전력산업,양동선,,화순소방서(능주119안전센터),5.1,10,061-372-0119
301,전남,화순,화순 학재고택,"소방,전기",㈜태운전력산업,양동선,,화순소방서(능주119안전센터),5.1,10,061-3725-0119
302,경북,경산,경산 환성사 대웅전,소방,우진방재,정연두,053-852-6561,경산소방서 하양119안전센터,7.5,25,053-812-5119
303,경북,경산,경산 상엿집과 관련 문서,소방,우진방재,정연두,053-853-4848,경산소방서 하양119안전센터,7.5,25,053-812-5119
304,경북,경주,경주 양동 무첨당,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
305,경북,경주,경주 양동 향단,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
306,경북,경주,경주 독락당,소방,㈜창대전기소방,안동현,,안강119안전센터,7,10,054-778-0561
307,경북,경주,경주 양동 관가정,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
308,경북,경주,경주 기림사 대적광전,소방,㈜명진이앤씨,김규봉,,양북119지역대,7,10,054-778-0691
309,경북,경주,경주향교 대성전,소방,㈜명진이앤씨,김규봉,,경주소방서,3.2,5,054-778-0563
310,경북,경주,경주 불국사 대웅전,소방,㈜명진이앤씨,김규봉,054-746-9913,불국사119안전센터,1,3,054-778-0621
311,경북,경주,경주 귀래정,소방,㈜창대전기소방,안동현,,안강119안전센터,10,14,054-778-0561
312,경북,경주,경주향교 명륜당,소방,㈜명진이앤씨,김규봉,,경주소방서,3.2,5,054-778-0563
313,경북,경주,경주향교 동무서무신삼문,소방,㈜명진이앤씨,김규봉,,경주소방서,3.2,5,054-778-0563
314,경북,경주,경주 옥산서원 무변루,,,,,,,,
315,경북,경주,경주 무열왕릉,,,,054-779-6109,경주소방서,3.2,5,054-778-0563
316,경북,경주,경주읍성,,,,054-779-6109,동부119안전센터,0.5,5,054-778-0611
317,경북,경주,경주 서출지,,,,,경주소방서,3.2,5,054-778-0563
318,경북,경주,경주 옥산서원,소방,㈜창대전기소방,안동현,,안강119안전센터,10,14,054-778-0561
319,경북,경주,경주 문무대왕릉,,,,,양북119지역대,8,11,054-778-0691
320,경북,경주,경주 이견대,소방,㈜명진이앤씨,김규봉,,양북119지역대,7,10,054-778-0691
321,경북,경주,경주 오릉,,,,,경주소방서,3.2,5,054-778-0563
322,경북,경주,경주 미추왕릉,,,,,경주소방서,3.2,5,054-778-0563
323,경북,경주,경주 춘양교지와 월정교지,,,,,경주소방서,3.2,5,054-778-0563
324,경북,경주,경주 불국사,소방,㈜명진이앤씨,김규봉,054-746-9912,불국사119안전센터,1,3,054-778-0621
325,경북,경주,경주 금강산 표암봉 일원,,,,,,,,
326,경북,경주,경주 양동마을 송첨종택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
327,경북,경주,경주 최부자댁,소방,㈜명진이앤씨,김규봉,,경주소방서,3.2,5,054-778-0563
328,경북,경주,경주 월암종택,소방,㈜명진이앤씨,김규봉,,경주소방서,3.2,5,054-778-0563
329,경북,경주,경주 양동마을 낙선당 고택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
330,경북,경주,경주 양동마을 사호당 고택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
331,경북,경주,경주 양동마을 상춘헌 고택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
332,경북,경주,경주 양동마을 근암고택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
333,경북,경주,경주 양동마을 두곡고택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
334,경북,경주,경주 양동마을 수졸당 고택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
335,경북,경주,경주 양동마을 이향정 고택,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
336,경북,경주,경주 양동마을 수운정,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
337,경북,경주,경주 양동마을 심수정,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
338,경북,경주,경주 양동마을 안락정,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
339,경북,경주,경주 양동마을 강학당,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
340,경북,경주,경주 양동마을,소방,㈜창대전기소방,안동현,,양동마을지역대,1,5,054-778-0697
341,경북,구미,구미 대둔사 대웅전,소방,수림소방㈜,이철근,054-482-3807,구미소방서 선산119안전센터,12,15,054-482-0119
342,경북,구미,구미 금오서원 정학당,,,,,구미소방서 선산119안전센터,3,5,054-482-0119
343,경북,구미,구미 금오서원 상현묘,,,,,구미소방서 선산119안전센터,3,5,054-482-0119
344,경북,구미,구미 쌍암고택,소방,수림소방㈜,이철근,,구미소방서 해평119안전센터,1,4,054-474-4119
345,경북,김천,김천 직지사 대웅전,소방,성남이엔지,박정욱,054-429-1701,김천다수119안전센터,7.6,11,054-430-0119
346,경북,김천,김천 방초정,소방,성남이엔지,박정욱,054-435-1938,지례119안전센터,4.8,6,054-435-1119
347,경북,문경,문경 봉암사 극락전,소방,안국방재 문경지점,서구식,,문경소방서 가은119안전센터,10,15,054-571-5119
348,경북,문경,문경 봉암사 봉황문,소방,안국방재 문경지점,서구식,,문경소방서 가은119안전센터,10,15,054-571-5119
349,경북,봉화,봉화 한수정,소방,디엔알,임종근,,춘양 119안전센터,2,4,054-630-0431
350,경북,봉화,봉화 청암정,,,,,봉화 119안전센터,4.4,9,054-672-1119
351,경북,봉화,봉화 만회고택,소방,디엔알,임종근,054-673-7939,봉화 119안전센터,3.3,7,054-672-1119
352,경북,봉화,봉화 쌍벽당 종택,소방,디엔알,임종근,054-673-3030,봉화 119안전센터,4.6,8,054-672-1119
353,경북,봉화,봉화 계서당 종택,소방,디엔알,임종근,054-673-8670,봉화 119안전센터,9.8,17,054-672-1119
354,경북,봉화,봉화 설매리 3겹 까치구멍집,소방,디엔알,임종근,054-672-6333,봉화 119안전센터,14.5,24,054-672-1119
355,경북,봉화,봉화 송석헌 고택,소방,디엔알,임종근,054-672-0034,봉화 119안전센터,5.2,9,054-672-1119
356,경북,봉화,봉화 만산고택,소방,디엔알,임종근,054-672-3206,춘양 119안전센터,2.5,5,054-630-0431
357,경북,봉화,봉화 선성김씨 빈동재사,소방,디엔알,임종근,,봉화 119안전센터,10.8,22,054-672-1119
358,경북,봉화,봉화 서설당 고택,소방,디엔알,임종근,054-673-2425,봉화 119안전센터,5.1,11,054-672-1119
359,경북,봉화,봉화 오고당 고택,,,,054-672-9084,봉화 119안전센터,12.3,19,054-672-1119
360,경북,상주,상주 양진당,소방,㈜수성방재,배기룡,,낙동119지역대,2.8,5,054-532-0119
361,경북,상주,상주향교 대성전동무서무,,,,054-855-8858,서성119안전센터,1.7,5,054-530-3804
362,경북,상주,상주 대산루,,,,,서성119안전센터,17.4,15,054-530-3804
363,경북,상주,상주 옥동서원,소방,㈜수성방재,배기룡,,모서119지역대화서119안전센터,21.4,10,054-532-2119
364,경북,상주,상주 우복 종택,소방,㈜수성방재,배기룡,,서성119안전센터,17.4,15,054-530-3804
365,경북,상주,상주 수암종택,,,,,서성119안전센터,20.8,29,054-530-3804
366,경북,성주,성주향교 대성전 및 명륜당,소방,㈜안국방재,이용식,,성주소방서,2,5,054-930-5561
367,경북,성주,성주 한개마을,소방,㈜안국방재,이용식,,성주소방서,2,5,054-930-5561
368,경북,안동,안동 봉정사 극락전,소방,㈜한양기술단,최영준,054-853-4181,서후 119지역대,5.1,10,054-852-5119
369,경북,안동,안동 봉정사 대웅전,소방,㈜한양기술단,최영준,054-853-4181,서후 119지역대,5.1,10,054-852-5119
370,경북,안동,안동 임청각,소방,㈜한양기술단,최영준,,법흥 119안전센터,1.2,3,054-854-6119
371,경북,안동,안동 도산서원 전교당,소방,㈜한양기술단,최영준,,도산 119안전센터,4,6,054-856-7119
372,경북,안동,안동 도산서원 상덕사 및 삼문,소방,㈜한양기술단,최영준,,도산 119안전센터,4,6,054-856-7119
373,경북,안동,안동 개목사 원통전,소방,㈜한양기술단,최영준,054-841-6304,서후 119지역대,8,11,054-852-5119
374,경북,안동,안동 하회 양진당,소방,㈜한양기술단,최영준,,하회 119지역대,0.9,4,054-854-2119
375,경북,안동,안동 하회 충효당,소방,㈜한양기술단,최영준,,하회 119지역대,0.9,4,054-854-2119
376,경북,안동,안동 봉정사 화엄강당,소방,㈜한양기술단,최영준,054-853-4181,서후 119지역대,5.1,10,054-852-5119
377,경북,안동,안동 봉정사 고금당,소방,㈜한양기술단,최영준,054-853-4181,서후 119지역대,5.1,10,054-852-5119
378,경북,안동,안동 의성김씨 종택,소방,㈜한양기술단,최영준,,용상 119안전센터,9.8,12,054-821-1119
379,경북,안동,안동 소호헌,소방,㈜한양기술단,최영준,,일직 119지역대,1.5,5,054-859-7119
380,경북,안동,안동 예안이씨 충효당,소방,㈜한양기술단,최영준,054-858-4768,풍산119안전센터,0.9,2,054-858-4119
381,경북,안동,안동 청원루,소방,㈜한양기술단,최영준,,풍산119안전센터,3.9,6,054-858-4119
382,경북,안동,안동 체화정,소방,㈜한양기술단,최영준,,풍산119안전센터,0.9,1,054-858-4119
383,경북,안동,안동 봉황사 대웅전,소방,㈜한양기술단,최영준,054-822-2562,용상 119안전센터,18.5,22,054-821-1119
384,경북,안동,안동 병산서원 만대루,소방,㈜한양기술단,최영준,,풍산 119안전센터,9.6,17,054-858-4119
385,경북,안동,안동 도산서원 도산서당,소방,㈜한양기술단,최영준,,도산 119안전센터,4,6,054-856-7119
386,경북,안동,안동 도산서원 농운정사,소방,㈜한양기술단,최영준,,도산 119안전센터,4,6,054-856-7119
387,경북,안동,안동 도산서원,소방,㈜한양기술단,최영준,,도산 119안전센터,4,6,054-856-7119
388,경북,안동,안동 병산서원,소방,㈜한양기술단,최영준,,풍산 119안전센터,9.6,17,054-858-4119
389,경북,안동,안동 하회마을 화경당 고택,,,,,하회119 지역대,0.7,2,054-854-2119
390,경북,안동,안동 하회마을 원지정사,소방,㈜한양기술단,최영준,,하회119 지역대,0.8,2,054-854-2119
391,경북,안동,안동 하회마을 빈연정사,소방,㈜한양기술단,최영준,,하회119 지역대,1.1,4,054-854-2119
392,경북,안동,안동 하회마을 작천고택,소방,㈜한양기술단,최영준,,하회119 지역대,1.2,5,054-854-2119
393,경북,안동,안동 하회마을 옥연정사,소방,㈜한양기술단,최영준,,하회119 지역대,6.8,11,054-854-2119
394,경북,안동,안동 하회마을 겸암정사,소방,㈜한양기술단,최영준,,하회119 지역대,7.2,11,054-854-2119
395,경북,안동,안동 하회마을 염행당 고택,소방,㈜한양기술단,최영준,,하회119 지역대,1,2,054-854-2119
396,경북,안동,안동 하회마을 양오당 고택,,,,,하회119 지역대,1.1,3,054-854-2119
397,경북,안동,안동 하회마을,,,,,하회119 지역대,0,0,054-854-2119
398,경북,안동,안동 수곡고택,소방,㈜한양기술단,최영준,,풍산119안전센터,6.6,9,054-858-4119
399,경북,안동,안동 하회마을 하동고택,소방,㈜한양기술단,최영준,054-853-2212,하회119 지역대,0.6,1,054-854-2119
400,경북,안동,안동 일성당 고택,소방,㈜한양기술단,최영준,,풍산119안전센터,0.7,1,054-858-4119
401,경북,안동,안동 학암고택,소방,㈜한양기술단,최영준,,풍산119안전센터,7.7,11,054-858-4119
402,경북,안동,안동 예안이씨 근재재사,소방,㈜한양기술단,최영준,,풍산119안전센터,6.3,11,054-858-4119
403,경북,안동,안동 도암종택,소방,㈜한양기술단,최영준,,풍산119안전센터,9.5,9,054-858-4119
404,경북,안동,안동 의성김씨 서지재사,소방,㈜한양기술단,최영준,,도산 119안전센터,17,18,054-856-7119
405,경북,안동,안동 안동권씨 능동재사,소방,㈜한양기술단,최영준,,서후 119지역대,1.9,3,054-852-5119
406,경북,안동,안동 오류헌 고택,소방,㈜한양기술단,최영준,054-822-2704,용상 119안전센터,12.1,15,054-821-1119
407,경북,안동,안동 고성이씨 탑동파 종택,소방,㈜한양기술단,최영준,054-859-1149,법흥 119안전센터,1.1,1,054-854-6119
408,경북,안동,안동 권성백 고택,소방,㈜한양기술단,최영준,,풍산119안전센터,6.7,9,054-858-4119
409,경북,안동,안동 송소종택,소방,㈜한양기술단,최영준,,도산 119안전센터,16,19,054-856-7119
410,경북,안동,안동 안동권씨 소등재사,소방,㈜한양기술단,최영준,,도산 119안전센터,15,16,054-856-7119
411,경북,안동,안동 탁청정,소방,㈜한양기술단,최영준,,도산 119안전센터,5.5,6,054-856-7119
412,경북,안동,안동 후조당 종택,소방,㈜한양기술단,최영준,,도산 119안전센터,5.5,6,054-856-7119
413,경북,안동,안동 귀봉종택,소방,㈜한양기술단,최영준,,용상 119안전센터,10,12,054-821-1119
414,경북,안동,안동 번남고택,소방,㈜한양기술단,최영준,,도산 119안전센터,30,36,054-856-7119
415,경북,안동,안동 광산김씨 탁청정공파 종택,소방,㈜한양기술단,최영준,,도산 119안전센터,5.5,6,054-856-7119
416,경북,안동,안동 향산고택,소방,㈜한양기술단,최영준,,법흥 119안전센터,4.1,9,054-854-6119
417,경북,안동,안동 허백당 종택,소방,㈜한양기술단,최영준,,풍산119안전센터,7.7,11,054-858-4119
418,경북,안동,안동 시은고택,,,,,풍산119안전센터,0.6,1,054-858-4119
419,경북,안동,안동 풍산류씨 금계재사,소방,㈜한양기술단,최영준,,서후 119지역대,2.1,4,054-852-5119
420,경북,안동,안동 진성이씨 종택,소방,㈜한양기술단,최영준,,도산 119안전센터,13,15,054-856-7119
421,경북,안동,안동 진성이씨 온혜파 종택,소방,㈜한양기술단,최영준,,도산 119안전센터,5,7,054-856-7119
422,경북,안동,안동 영양남씨 남흥재사,,,,,도산 119안전센터,16.7,20,054-856-7119
423,경북,영덕,영덕 충효당 종택,"소방,방범",금강방재,김천수,,영덕소방서 영해119안전센터,3,4,054-732-0119
424,경북,영덕,영덕 안동권씨 옥천재사,"소방,방범",금강방재,김천수,,영덕소방서 영해119안전센터,15,15,054-732-0119
425,경북,영덕,영덕 난고종택,"소방,방범",금강방재,김천수,,영덕소방서 영해119안전센터,2,3,054-732-0119
426,경북,영덕,영덕 무안박씨 무의공파 종택,"소방,방범",금강방재,김천수,,영덕소방서 영해119안전센터,5,5,054-732-0119
427,경북,영덕,영덕 괴시마을,"소방,방범",금강방재,김천수,,영덕소방서 영해119안전센터,2,3,054-732-0119
428,경북,영덕,영덕 무안박씨 희암재사,"소방,방범",금강방재,김천수,,영덕소방서 영해119안전센터,15,30,054-732-0119
429,경북,영양,영양 서석지,소방,신우엔지니어링,염대규,,안동소방서 입암119안전센터,2.6,4,054-680-4119
430,경북,영양,영양 한양조씨 사월종택,소방,신우엔지니어링,염대규,,안동소방서 영양119안전센터,3,8,043-680-3119
431,경북,영주,영주 부석사 무량수전,소방,(주)온누리소방,이준교,054-633-3464,영주소방서(부석119지역대),5.5,9,054-631-1198
432,경북,영주,영주 부석사 조사당,소방,(주)온누리소방,이준교,054-633-3464,영주소방서(부석119지역대),5.5,9,054-631-1198
433,경북,영주,영주 성혈사 나한전,소방,(주)온누리소방,이준교,054-633-2582,영주소방서(순흥119지역대),7.9,14,054-634-6119
434,경북,영주,영주 소수서원 문성공묘,소방,(주)온누리소방,이준교,054-639-7691,영주소방서(순흥119지역대),2,5,054-634-6119
435,경북,영주,영주 소수서원 강학당,소방,(주)온누리소방,이준교,054-639-7691,영주소방서(순흥119지역대),2,5,054-634-1198
436,경북,영주,영주 부석사 안양루,소방,(주)온누리소방,이준교,054-633-3464,영주소방서(부석119지역대),5.5,9,054-631-1198
437,경북,영주,영주 부석사 범종각,소방,(주)온누리소방,이준교,054-633-3464,영주소방서(부석119지역대),5.5,9,054-631-1198
438,경북,영주,영주 소수서원,소방,(주)온누리소방,이준교,054-639-7691,영주소방서(순흥119지역대),2,5,054-634-1198
439,경북,영주,영주 무섬마을,소방,(주)온누리소방,이준교,054-634-0040,영주소방서(문수119안전센터),8,10,054-634-1192
440,경북,영천,영천 거조사 영산전,소방,대경방재,이원근,054-335-1369,신녕119안전센터,5.8,11,054-332-9119
441,경북,영천,영천 숭렬당,소방,대경방재,이원근,,영천소방서,3,7,054-336-8000
442,경북,영천,영천향교 대성전,소방,대경방재,이원근,054-334-5623,영천소방서,3.2,8,054-336-8000
443,경북,영천,영천 은해사 백흥암 극락전,소방,대경방재,이원근,054-335-2988,신녕119안전센터,12.7,25,054-332-9119
444,경북,영천,영천 매산고택과 산수정,소방,대경방재,이원근,,영천소방서,13.7,26,054-336-8000
445,경북,영천,영천 연정고택,소방,대경방재,이원근,,영천소방서,9.4,16,054-336-8000
446,경북,영천,영천 만취당 고택,소방,대경방재,이원근,,금호119안전센터,1.3,3,054-334-0119
447,경북,예천,예천 용문사 대장전과 윤장대,소방,㈜디앤알,임종근,054-655-1011,용문119지역대,8,10,054-650-3414
448,경북,예천,예천권씨 초간종택 별당,소방,㈜디앤알,임종근,054-655-9225,용문119지역대,1.5,3,054-650-3414
449,경북,예천,예천 야옹정,소방,㈜디앤알,임종근,,용문119지역대,3.8,6,054-650-3414
450,경북,예천,예천 물체당 고택,소방,㈜디앤알,임종근,054-653-4682,예천소방서,10,12,054-650-3414
451,경북,예천,예천 예천권씨 초간공파 종택,소방,㈜디앤알,임종근,054-655-9225,용문119지역대,1.5,3,054-650-3414
452,경북,예천,예천 남악종택,소방,㈜디앤알,임종근,,용문119지역대,2.7,5,054-650-3414
453,경북,예천,예천 함양박씨 희이재사,소방,㈜디앤알,임종근,054-655-9227,용문119지역대,4.2,7,054-650-3414
454,경북,울릉,울릉 나리 너와 투막집과 억새 투막집,소방,명진이엔씨,김규봉,054-790-2191,"울릉119안전센터, 북면119지역대",3.4,13,054-791-2119
455,경북,울릉,울릉 나리 억새 투막집,,,,054-790-2191,"울릉119안전센터, 북면119지역대",5.8,25,054-791-2119
456,경북,울진,울진 불영사 응진전,방범,㈜건아정보기술,장규동,054-783-5004,울진소방서,20,25,054-783-0119
457,경북,울진,울진 불영사 대웅보전,소방,금강방재㈜,김천수,054-783-5004,울진소방서,20,25,054-783-0119
458,경북,의성,의성 만취당,소방,㈜디엔알,임종근,,의성소방서 점곡119지역대,0.5,1,054-830-1860
459,경북,의성,의성 대곡사 대웅전,소방,㈜디엔알,임종근,054-862-4222,의성소방서 다인119지역대,7.4,15,054-861-5119
460,경북,의성,의성 고운사 연수전,소방,㈜디엔알,임종근,054-833-2324,의성소방서 점곡119지역대,10.8,18,054-830-7860
461,경북,의성,의성 대곡사 범종루,소방,㈜디엔알,임종근,054-862-4222,의성소방서 다인119지역대,7.4,15,054-861-5119
462,경북,의성,의성 소우당 고택,소방,㈜디엔알,임종근,,의성소방서 다인119지역대,7.4,15,054-861-5119
